url,type,price,gouvernorat,delegation,surface_totale,nombre_chambres,nombre_salle_bain,description,etage,neuf,haut_standing,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,balcon,terrasse,area
https://www.mubawab.tn/fr/a/8292175/a-vendre-villa-550-m%C2%B2-angle-rue-av-louis-braille,0,1670000,cité el khadra,cité jardins,550,6,2,"En exclusivité, votre conseiller en immobilier Bassem Khemiri vous présente l’opportunité de vendre un bien d’angle situé surl’avenue Louis Braille, d’une superficie de 550 m².Le bien dispose d’un titre foncier en règle, est libre de toute hypothèque et offre un fort potentiel d’exploitation.Il peut parfaitement convenir pour le siège d’une société, une école, un centre de formation ou toute autre activité professionnelle.",0,0,0,0,0,0,1,0,0,0,0,0,Non spécifié
https://www.mubawab.tn/fr/a/7962626/villa-%C3%A0-kheireddine-la-goulette-300m-de-la-plage,0,950000,la goulette,la goulette,386,6,3,"Darcom Tunisia vous propose à la vente une villa idéalement située à Kheireddine – La Goulette, à seulement 300 m de la plage.Édifiée sur un terrain de 386 m² pour une surface bâtie de 340 m², cette propriété offre un fort potentiel d’extension, avec la possibilité de bâtir jusqu’à quatre niveaux.À l’extérieur :Un agréable espace de vie avec piscine, terrasse et abri de voiture.Rez-de-chaussée :•       Salon lumineux /séjour ouvrant sur la piscine•       Cuisine semi-ouverte richement équipée /Débarras•       Deux chambres à coucher, dont une spacieuse suite parentale avec salle de douche privative, double vasque, et accès direct à la piscine•       Salle de douche communeÉtage (entrée indépendante) :•       Quatre pièces dont une disposant d’une grande terrasse•       Salle de bain•       Salle d’eau pour invités•       Cuisine avec grand séchoirCette villa constitue une opportunité rare à La Goulette, idéale aussi bien pour une résidence principale, une villa bi-familiale, ou un projet de promotion immobilière, à deux pas de la plage.",0,0,0,0,1,0,0,1,1,0,0,1,Non spécifié
https://www.mubawab.tn/fr/a/8242601/villa-%C3%A0-vendre-%C3%A0-la-marsa,0,1280000,la marsa,cité les pins,423,6,1,"22Estates vous propose à la vente une villa située à La Marsa, à proximité de toutes les commodités.Cette propriété représente une excellente opportunité dans un emplacement recherché.Édifiée sur deux niveaux, elle se compose au rez-de-chaussée d’un S3, et à l’étage d’un second S3.Une opportunité rare à ne pas manquer à La Marsa ! Pour plus d’informations, veuillez contacter le 27 320 200.",0,0,0,0,0,0,1,1,1,0,0,1,Non spécifié
https://www.mubawab.tn/fr/a/8265991/villa-a-%C3%A0-vendre-%E2%80%93-style-djerbien,0,650000,aghir,Non spécifié,150,4,3,"Villa A à vendre – Style djerbien – Plain-pied avec piscine – Aghir DjerbaÀ vendre, une magnifique villa plain-pied au style djerbien, située dans la zone touristique d’Aghir, dans un environnement calme et recherché. Cette propriété allie charme traditionnel et confort moderne, avec de beaux volumes et des prestations soignées.Le salon est lumineux et ouvert sur une cuisine moderne et conviviale ainsi qu’une salle à manger.Un grand placard est intégré dans le salon.La villa comprend deux suites parentales, chacune disposant d’une chambre spacieuse et d’une salle de bain privative.Un deuxième espace nuit offre deux chambres et une grande salle de bain commune.- La villa dispose d’une piscine, d’un local technique, d’une paillote extérieure aménagée, d’un salon d’été, d’une douche extérieure et d’une toilette extérieure.- Un garage avec accès direct à la cuisine est également présent.- Un escalier mène aux terrasses et aux toits, où se trouve une paillote offrant une vue mer.Surface du terrain : 500 m²Surface habitable : 150 m²Titre bleu individuelZone urbaine",0,0,0,0,1,1,0,0,0,0,0,1,Non spécifié
https://www.mubawab.tn/fr/a/8159299/%C3%A0-vendre-villa-de-luxe-avec-piscine-%C3%A0-craxi-hammamet,0,1050000,hammamet,hammamet,400,4,3,"Cette villa  de  280m² érigée sur deux niveaux se dresse au milieu d’un terrain de 400m² est située au cœur d’un quartier  calme et résidentiel à  Craxi Hammamet.Au RDC on trouve un spacieux  salon  lumineux   ouvert sur la piscine et le jardin,dans la continuité on trouve une cuisine  moderne  bien aménagée et équipée (plaque, hotte ,four) ouvert sur le jardin   ainsi qu’une chambre  d’amis et une salle d’eau invitéeQuand au premier niveau on trouve la partie nuit qui se compose de trois suites parentale ouvrant sur des balcons  vue sur mer  et nanties des dressingsLe chauffage et la climatisation en Split system sont disponibles.Un abri  pour deux voitures est disponible  .",0,0,0,0,1,1,1,1,1,0,1,0,Non spécifié
https://www.mubawab.tn/fr/a/8276544/%C3%A0-vendre-villa-en-s5-%C3%A0-200m-de-la-plage,0,1200000,hammamet,hammamet nord,350,5,4,"Cette villa de 350m² bâtie érigée sur deux niveaux se dresse au milieu d’un terrain de 400m², dans un quartier calme et résidentiel Mrezga, Hammamet nord à 200m de la mer. Au premier niveau on trouve un  salon lumineux avec cheminée ouvrant sur le jardin et la piscine ainsi qu’ une cuisine  moderne bien aménagée et équipée (plaque,hotte) et une suite parentale. Quant au deuxième niveau on trouve la partie nuit qui se compose de trois suites parentales et une chambre à couchers ainsi qu’ une salle de bain.Le chauffage et la climatisation en Split system sont disponibles.-Un abri pour  deux voitures est disponible .-Une Cuisine extérieur est à la disposition.",0,0,0,0,1,0,1,1,1,0,0,0,Non spécifié
https://www.mubawab.tn/fr/a/8268575/%C3%A0-vendre-villa-avec-piscine-%C3%A0-hammamet-nord-zone-radisson,0,750000,hammamet,hammamet,216,3,2,"Cette villa de 216m² bâtie érigée sur deux niveaux se dresse au milieu d’un terrain de 230m², dans un quartier calme et résidentiel zone Radisson blu , Hammamet nord. Au premier niveau on trouve un  salon lumineux ouvrant sur le jardin et la piscine ainsi qu’ un coin séjour ainsi dans la continuité on trouve une cuisine  moderne bien aménagée et équipée (plaque,hotte) et une salle d’eau pour les invitées. Quant au deuxième niveau on trouve la partie nuit qui se compose de trois chambres à couchers  nanties des dressings et qui se partagent une salle de douche  .Le chauffage et la climatisation en Split system sont disponibles.Un abri pour  deux voitures est disponible .",0,0,0,0,1,0,1,1,1,0,0,0,Non spécifié
https://www.mubawab.tn/fr/a/7846475/triplex-292-m%C2%B2-haut-standing-jardins-de-carthage,0,1380000,le kram,les jardins de carthage,292,3,3,"Darcom Tunisia, votre meilleur allié pour trouver votre futur foyerMet à votre disposition un joli Triplex au RDC d’une superficie de 292,03 m2 avec un jardin de 86,26 m2 , situé dans une résidence R3 aux Jardins de Carthage.Au RDC, on trouve un salon avec dressing au hall, un séjour, une cuisine aménagée et équipée, une salle d’eau et une chambre de service.Au 1er étage, on trouve une suite parentale contenant un double dressing avec salle de douche, deux chambres à coucher chacune avec dressings et qui se partagent une salle de bain.Le sous-sol est composé de quatre places parking et deux celliers.",0,0,0,1,0,0,1,1,1,0,0,1,Non spécifié
https://www.mubawab.tn/fr/a/8118749/a-vendre-villa-rdc-%C3%A0-soukra,0,985000,la soukra,chotrana 2,200,4,2,"Darcom-Tunisia La Soukra vous propose à la vente une villa avec Piscine en cours de finition ayant une superficie terrain de 546 m² et d’environ de 200 m² bâtie , avec son style moderne la Villa est érigée sur un seul niveau situé à Soukra Chotrana II.bénéficie de finitions de qualité et d'équipements haut de gamme, tels que des revêtements en marbre ""THELA"", des sanitaires  de premier choix et des portes en bois nobles.À l’entrée, nous y retrouvons un hall, un salon spacieux vaste donnant sur le jardin .une cuisine équipée avec un porte coulissante qui donne sur le salon.La partie nuit comprend une suite parentale avec salle de bain, trois chambres à coucher et une salle de bain communeL’espace extérieur vous offre un jardin vaste avec une piscine qui satisfera votre besoin de verdure et de plein air tout en étant chez vous. Ainsi qu’un débarra .Un parking pour deux voitures est disponible.Si vous souhaitez visiter le bien n’hésitez pas à nous contacter",0,0,0,1,1,0,1,0,1,0,0,0,Non spécifié
https://www.mubawab.tn/fr/a/8190865/%C3%A0-vendre-villa-de-ma%C3%AEtre-%C3%A0-oued-lassoued-hammamet,0,2300000,hammamet,hammamet,2400,4,1,"Cette villa de 385m² érigée sur deux niveaux se dresse au milieu d’un terrain de 2400m² dans un quartier calme et très bien fréquenté à Oued Lassoued, Hammamet.Au premier niveau on trouve un spacieux salon  lumineux en double hauteurs qui occupe une grande partie de cette villa, il est totalement ouvert sur la piscine et le jardin ,dans la continuité on trouve  une grande cuisine  moderne bien agencée et équipée ouverte sur le jardin ainsi qu’une salle d’eau pour les invitées et deux suites parentale. Au premier niveau on trouve une suite parentale et une chambre à coucher avec dressing.La villa est équipé d’un système domotiqueLa villa est équipée par la climatisation centrale .À l’extérieur on trouve un coin barbecue.Un parking de voiture est  disponible.",0,0,0,1,1,0,1,1,0,0,0,0,Non spécifié
